Código,Utilização
42 37,"346para irrita“‰o ocular, especialmente aquela associada a dor de"
71 81,533para dores nas costas em geral
87 47,838para problemas com o nervo ci⁄tico
78 78,833para prolapso de disco intervertebral
89 87,438para um disco intervertebral protuberante ou herniado
15 35,991para s™ndrome de dor regional complexa (SDRC)
45 46,162cobreiro (v™rus varicela-zŠster ou herpes zŠster)
91 278,596para pensamentos obsessivos sobre o controle da dor
92 367,9342para fechar os receptores da porta da dor ligados ‹
78 89,535para primeiros socorros em casos de AVC a caminho do
54 32,175para recupera“‰o de um acidente vascular cerebral (AVC)
69 78,"55123para lembrar como comer, mastigar e engolir apŠs les‰o"
66 51,"816para quem sofre de les‰o cerebral anŠxica, para que comece a"
33 45,634para danos celulares de qualquer tipo
88 33,421para deÞci’ncia auditiva e surdez
46 19,551para presbiacusia (perda auditiva com a idade)
87 89,114para Esclerose Lateral AmiotrŠÞca
41 57,051para a recupera“‰o da S™ndrome de Guillain-Barr” e todas as
53 59,816para DistroÞa Muscular da Cintura dos Membros (LGMD)
45 96,151para esclerose mœltipla em geral
19 86,116para esclerose mœltipla recorrente e remitente
81 23,7961para Doen“a de Parkinson
25 49,563para dem’ncia de Alzheimer (pode ser usado em conjunto com 29
07 43,131para diabetes ins™pida
65 57,142para neuropatia e danos nos nervos de todas as causas
69 78,"55123para lembrar como comer, mastigar e engolir apŠs les‰o"
72 52,594para restaurar a for“a de preens‰o (perda de preens‰o nas m‰os)
98 72,7458para neuralgia do trig’meo
11 21,495para insŽnia de longa data
56 17,"112para insŽnia situacional, devido a ru™do, viagens, calor"
46 19,207para insŽnia que ” devida a um enorme estresse de vida e
33 72,413para dislexia e outros distœrbios de aprendizagem
40 04,100para vertigem (voc’ sente como se a sala estivesse girando)
30 13,103para aliviar tonturas
23 66 182 973 437,9 para paralisia
23 22 941 760,9395para esquecimentos di⁄rios e extravio de coisas
56 17,998para aqueles que atingiram a sobriedade para evitar reca™das
01 61,510para aqueles que sofrem de depend’ncia de todos os tipos e para
55 65,569para aqueles que t’m problemas de controle da raiva e para
78 19,335para transtorno alimentar
25 65,993para obesidade mŠrbida e todas as suas sequelas
99 61,553para curar toda a depend’ncia do fumo Ñ tabaco e op“łes sem-
91 278,596para pensamentos obsessivos sobre o controle da dor
92 367,9342para fechar os receptores da porta da dor ligados ‹
40 50,666para agorafobia
11 66,767para ansiedade e medo de procedimentos m”dicos
11 25,612para ansiedade de hospitais e saœde em geral
33 49,586por ansiedade devido ‹ separa“‰o entre m‰e e Þlho; por saudade
64 07,"991para roer unhas, arrancar cabelos e outros tipos de"
25 36,933para transtorno de ansiedade generalizada (TAG)
53 14,80853para a trai“‰o e as feridas da trai“‰o
99 61,378para consola“‰o e conforto ‹ alma que sŠ a M‰e Divina pode dar
96 93,587para incapacidade de aceitar a morte
88 75,369para completar a Transi“‰o com gra“a e facilidade
21 46,015para a resposta psicolŠgica de 'congelamento' ao trauma quando
11 66,518para hipervigil›ncia associada ao TEPT (Transtorno do estresse
12 31,511para dissocia“‰o associada ao TEPT
56 11,213para apagar memŠrias do que n‰o ” certo para voc’; aquilo que
10 23,519para catastroÞza“‰o
11 11,115para mitigar o choque e o terror que acompanham cat⁄strofes de
72 84,555para ataques de p›nico
25 37,"536para memŠrias dolorosas do passado, tanto conscientes como"
21 35,619para abandonar o apego ao que ” assustador (parar de ruminar e
19 66,551para ansiedade de falar em pœblico
55 16,987para prote“‰o espiritual contra agressores (bullying)
25 33,698para v™timas de viol’ncia dom”stica
56 117,571para aqueles que intimidam os outros serem preenchidos com
04 73,732para ajudar a manter a compostura quando tudo parece estar lhe
11 96,888para uma baixa autoestima se tornar uma autoimagem saud⁄vel
96 15,"646para estudantes, empregados, pais e autŽnomos que suportam"
29 63,586para depress‰o em crian“as e adultos
22 26,111para depress‰o pedi⁄trica e adolescente
51 56,886para aumentar a motiva“‰o onde h⁄ pouca ou nenhuma
15 28,051para situa“łes em que os pais 'empurram' os seus Þlhos para se
08 08,316para desmoraliza“‰o ou perda de moral
25 39 561,615para esperar uma vida melhor em todos os sentidos e
92 03,179para anorexia de todas as causas
25 39,"579para transtorno bipolar, mania"
96 15,581para transtorno de personalidade borderline
51 56,931para quem se cortar ou ferir de alguma forma
64 07,"991para roer unhas, arrancar cabelos e outros tipos de"
25 36,933para transtorno de ansiedade generalizada (TAG)
97 96,533para transtorno de personalidade narcisista
22 33,516para desequil™brio de neurotransmissores
06 06,119para transtorno desaÞador de oposi“‰o (TOD)
25 37,"536para memŠrias dolorosas do passado, tanto conscientes como"
22 26,111para depress‰o pedi⁄trica e adolescente
86 42,789para crian“as com distœrbios comportamentais extraordin⁄rios
16 612 485,97895para Transtorno do D”Þcit de Aten“‰o e Hiperatividade
13 31,413para esquizofrenia
99 69,158para sentimentos de abandono
28 34,515para Þcar alerta enquanto estiver acordado at” tarde no trabalho
55 65,569para aqueles que t’m problemas de controle da raiva e para
92 03,179para anorexia de todas as causas
53 14,80853para a trai“‰o e as feridas da trai“‰o
55 16,987para prote“‰o espiritual contra valentłes (bullying)
45 892 456 7478,69925para limpar emo“łes negativas
99 61,378para consola“‰o e conforto ‹ alma que sŠ a M‰e Divina pode dar
45 826 9994,5789para aumentar o ßuxo criativo e a inspira“‰o
33 72,413para dislexia e outros distœrbios de aprendizagem
16 23,"948para superar o caos, a confus‰o, a distra“‰o e o atraso"
83 48,"806para resist’ncia, para perseverar, para correr a corrida para"
16 16,714para facilitar a adapta“‰o ao que ” novo Ñ para abra“ar e acolher
31 76,981para facilitar a interpreta“‰o da din›mica social do grupo e como
45 88,623para foco
22 26,980para foco e clareza mental
21 46,015para a resposta psicolŠgica de 'congelamento' ao trauma quando
51 86,923para aterramento
65 62,"792para harmonia, perd‰o e resolu“‰o apŠs conßito com outros"
25 67,993para se divertir! e uma vis‰o mais positiva
96 55,"178para que a esperan“a ßua de voc’ para os outros em um grupo,"
24 824,9625para aumentar a motiva“‰o
51 56,886para aumentar a motiva“‰o onde h⁄ pouca ou nenhuma
23 65,189para dar passos ‹ frente quando h⁄ hesita“‰o tal qual uma
80 80,561para a hesita“‰o daqueles que esperam e se demoram para se
56 11,213para apagar memŠrias do que n‰o ” certo para voc’; aquilo que
99 61,546para ajudar na perda de emprego e recupera“‰o de emprego (para
11 96,888para baixa autoestima se tornar uma autoimagem saud⁄vel
